0,1,2
https://www.simplyrecipes.com/recipes/chicken_milanese/,Chicken Milanese,"skinless boneless chicken breasts s, "
https://www.simplyrecipes.com/recipes/chicken_milanese/,Chicken Milanese,allpurpose flour
https://www.simplyrecipes.com/recipes/chicken_milanese/,Chicken Milanese,salt
https://www.simplyrecipes.com/recipes/chicken_milanese/,Chicken Milanese,ground pepper
https://www.simplyrecipes.com/recipes/chicken_milanese/,Chicken Milanese,eggs
https://www.simplyrecipes.com/recipes/chicken_milanese/,Chicken Milanese,panko breadcrumbs
https://www.simplyrecipes.com/recipes/chicken_milanese/,Chicken Milanese,"olive oil,if needed"
https://www.simplyrecipes.com/recipes/chicken_milanese/,Chicken Milanese,"lemon, inwedges,for serving"
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,"s chicken parts thighslegs recommended,skinon,bonein, excess fat"
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,lemon zestzest fromlemons
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,lemon juice
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,garlic
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,thymedried
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,rosemarydried
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,kosher salt
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,black pepper
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,butter
https://www.simplyrecipes.com/recipes/lemon_chicken/,Lemon Chicken,lemon slices for 
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,"one chicken, inparts—breast,thighs,backs,wingsneck if available"
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,"carrotscarrots scrubbed clean,but not , chunks for the stock, carrotsin rounds for the soup"
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,"ribs celeryribss for the stock, ribsin thick slices for the soup,including celery tops for the stock"
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,"onion,quartered for stock,peel on is okay"
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,"garlic,peel on,half"
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,sthyme 
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,bunch parsley
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,whole peppercorns
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,salt
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,egg noodles depending on how noodley you want your soup
https://www.simplyrecipes.com/recipes/chicken_noodle_soup/,Homemade Chicken Noodle Soup,ly ground black pepper
https://www.simplyrecipes.com/recipes/slow_cooker_shredded_chicken_chili/,Slow Cooker Shredded Chicken Chili,"boneless,skinless chicken thighs"
