url,name,ingredient
www.u.washington.edu/pbj,Classic peanut butter and jelly sandwich,whole wheat bread
www.u.washington.edu/pbj,Classic peanut butter and jelly sandwich,peanut butter
www.u.washington.edu/pbj,Classic peanut butter and jelly sandwich,jelly
www.u.washington.edu/cheesecake,Cheesecake recipe,graham cracker crumbs
www.u.washington.edu/cheesecake,Cheesecake recipe,confectioners sugar
www.u.washington.edu/cheesecake,Cheesecake recipe,unsalted butter
www.u.washington.edu/cheesecake,Cheesecake recipe,cream cheese
www.u.washington.edu/cheesecake,Cheesecake recipe,large eggs
www.u.washington.edu/cheesecake,Cheesecake recipe,sugar
www.u.washington.edu/cheesecake,Cheesecake recipe,vanilla extract
www.u.washington.edu/cheesecake,Cheesecake recipe,frozen raspberries
www.u.washington.edu/cheesecake,Cheesecake recipe,cheesecake enhancer
www.u.washington.edu/cheesecake,Cheesecake recipe,ground cinnamon
www.ischool.uw.edu/salmon_recipe,Baked salmon,salmon fillets
www.ischool.uw.edu/salmon_recipe,Baked salmon,soy sauce
www.ischool.uw.edu/salmon_recipe,Baked salmon,lemon juice
www.ischool.uw.edu/salmon_recipe,Baked salmon,garlic
www.ischool.uw.edu/salmon_recipe,Baked salmon,cinnamon
www.ischool.uw.edu/salmon_recipe,Baked salmon,black pepper
www.ischool.uw.edu/fruit_tart,Fruit Tart,confectioners sugar
www.ischool.uw.edu/fruit_tart,Fruit Tart,all-purpose flour
www.ischool.uw.edu/fruit_tart,Fruit Tart,butter
www.ischool.uw.edu/fruit_tart,Fruit Tart,cream cheese
www.ischool.uw.edu/fruit_tart,Fruit Tart,lime juice
www.ischool.uw.edu/fruit_tart,Fruit Tart,raspberries
www.ischool.uw.edu/fruit_tart,Fruit Tart,granulated sugar
www.ischool.uw.edu/fruit_tart,Fruit Tart,fresh fruit
www.ischool.uw.edu/fruit_tart,Fruit Tart,cornstarch
